episode,reward,steps,avg_loss,epsilon,buffer_size
1,1.0,160,0.0005503614653798385,0.995,160
2,1.0,169,0.006401426984419059,0.990025,329
3,2.0,209,0.0069000299771770105,0.985074875,538
4,0.0,130,0.00543618683024341,0.9801495006250001,668
5,0.0,135,0.005114834441202995,0.9752487531218751,803
6,2.0,196,0.005520444664816008,0.9703725093562657,999
7,2.0,201,0.006166495210787227,0.9655206468094844,1200
8,2.0,212,0.002937985320866848,0.960693043575437,1412
9,2.0,215,0.003755219720695222,0.9558895783575597,1627
10,2.0,239,0.0041380235077165435,0.9511101304657719,1866
11,0.0,160,0.003287740016526186,0.946354579813443,2026
12,5.0,380,0.0052521336691011365,0.9416228069143757,2406
13,1.0,175,0.00341383299653119,0.9369146928798039,2581
14,1.0,165,0.004022219507411743,0.9322301194154049,2746
15,1.0,158,0.0038782219392176766,0.9275689688183278,2904
16,2.0,205,0.004441177543208696,0.9229311239742362,3109
17,0.0,132,0.004798995800890473,0.918316468354365,3241
18,0.0,127,0.003198986414702624,0.9137248860125932,3368
19,3.0,256,0.0029072762789326134,0.9091562615825302,3624
20,0.0,133,0.0020127404091443823,0.9046104802746175,3757
21,0.0,134,0.002041207826496519,0.9000874278732445,3891
22,0.0,125,0.0025678383707418108,0.8955869907338783,4016
23,0.0,134,0.002864155324880527,0.8911090557802088,4150
24,4.0,336,0.003783157250078754,0.8866535105013078,4486
25,0.0,127,0.002687777378759072,0.8822202429488013,4613
26,2.0,210,0.0023739639157914403,0.8778091417340573,4823
27,3.0,287,0.0031725423435531703,0.8734200960253871,5110
28,2.0,199,0.0036464092159648447,0.8690529955452602,5309
29,0.0,170,0.0031875597690968253,0.8647077305675338,5479
30,0.0,138,0.00230674551467941,0.8603841919146962,5617
31,0.0,132,0.0017550589997854056,0.8560822709551227,5749
32,1.0,194,0.0019974934775277265,0.851801859600347,5943
33,0.0,136,0.002979716383111629,0.8475428503023453,6079
34,2.0,186,0.0028049961329088546,0.8433051360508336,6265
35,5.0,369,0.0023001039899050555,0.8390886103705794,6634
36,2.0,186,0.0025571964121212736,0.8348931673187264,6820
37,0.0,137,0.0019236302284105769,0.8307187014821328,6957
38,2.0,210,0.003320146456410709,0.8265651079747222,7167
39,0.0,145,0.0029279823269462214,0.8224322824348486,7312
40,1.0,166,0.0024767182258950793,0.8183201210226743,7478
41,0.0,146,0.0019707453165247984,0.8142285204175609,7624
42,2.0,207,0.001686026742918066,0.810157377815473,7831
43,0.0,133,0.0015058931333312234,0.8061065909263957,7964
44,0.0,135,0.002755890315812495,0.8020760579717637,8099
45,1.0,164,0.003221088453556593,0.798065677681905,8263
46,2.0,214,0.002060121221105551,0.7940753492934954,8477
47,0.0,129,0.001823869969040632,0.7901049725470279,8606
48,0.0,129,0.0013923607631261613,0.7861544476842928,8735
49,1.0,191,0.001369036977029715,0.7822236754458713,8926
50,1.0,160,0.0022333642449666514,0.778312557068642,9086
51,2.0,191,0.0032246395964138893,0.7744209942832988,9277
52,1.0,177,0.0021399579401503548,0.7705488893118823,9454
53,0.0,127,0.002185105137890443,0.7666961448653229,9581
54,1.0,202,0.0013790659986535492,0.7628626641409962,9783
55,1.0,193,0.0013011030756963124,0.7590483508202912,9976
56,1.0,167,0.003620475131971622,0.7552531090661897,10143
57,2.0,228,0.0028347445216224927,0.7514768435208588,10371
58,0.0,129,0.0017218545154585366,0.7477194593032545,10500
59,3.0,255,0.002016768708149446,0.7439808620067382,10755
60,2.0,202,0.0015658900363020377,0.7402609576967045,10957
61,3.0,235,0.003023219594243973,0.736559652908221,11192
62,0.0,130,0.003181339400068212,0.7328768546436799,11322
63,1.0,163,0.0025482649359269286,0.7292124703704616,11485
64,0.0,131,0.0018354339707502385,0.7255664080186093,11616
65,2.0,238,0.001932757313686331,0.7219385759785162,11854
66,0.0,127,0.0017317644004525771,0.7183288830986236,11981
67,1.0,171,0.0028065238347105485,0.7147372386831305,12152
68,2.0,190,0.002858712858333571,0.7111635524897149,12342
69,0.0,136,0.0022405182509614594,0.7076077347272662,12478
70,2.0,201,0.0016822214264408755,0.7040696960536299,12679
71,1.0,179,0.001692111040537074,0.7005493475733617,12858
72,1.0,164,0.0016295857233827274,0.697046600835495,13022
73,3.0,227,0.004217068287149063,0.6935613678313175,13249
74,4.0,299,0.0028229985080202294,0.6900935609921609,13548
75,0.0,134,0.0021099137584722266,0.6866430931872001,13682
76,2.0,230,0.0021110263794822536,0.6832098777212641,13912
77,2.0,239,0.004036463340990358,0.6797938283326578,14151
78,3.0,253,0.003697576955270957,0.6763948591909945,14404
79,0.0,127,0.0027549618261125614,0.6730128848950395,14531
80,0.0,131,0.002262430016719203,0.6696478204705644,14662
81,1.0,183,0.0022820321689716087,0.6662995813682115,14845
82,0.0,132,0.0017084723115134914,0.6629680834613705,14977
83,2.0,208,0.004193740470047767,0.6596532430440636,15185
84,0.0,124,0.004046944344619049,0.6563549768288433,15309
85,0.0,128,0.0028927797916367126,0.653073201944699,15437
86,0.0,133,0.0026357506272292,0.6498078359349755,15570
87,0.0,141,0.003438144947232097,0.6465587967553006,15711
88,3.0,277,0.002504416165973433,0.6433260027715241,15988
89,0.0,131,0.00546201546023287,0.6401093727576664,16119
